fixture_id,season,date,home,away,home_goals,away_goals,outcome,p_home_mkt,p_draw_mkt,p_away_mkt,n_books,ou_line,p_over_mkt,p_under_mkt,settle_label,last_update
8636002,2018,2018-06-14,Russia,Saudi Arabia,5,0,0,0.6771850058069139,0.22105809384961328,0.10175690034347278,9,2.5,0.587273373622467,0.4127266263775329,1,2018-06-14 17:00:33
8636003,2018,2018-06-15,Egypt,Uruguay,0,1,2,0.1149425287356322,0.24137931034482762,0.6436781609195402,15,2.5,0.4160401002506265,0.5839598997493733,2,2018-06-15 13:55:20
8636004,2018,2018-06-15,Morocco,Iran,0,1,2,0.4412441905600771,0.3243128124721231,0.23444299696779985,12,2.5,0.22585481241721325,0.7741451875827867,2,2018-06-15 17:00:51
8636005,2018,2018-06-15,Portugal,Spain,3,3,1,0.23317805749834056,0.2930489652483404,0.4737729772533191,12,2.5,0.41813602015113355,0.5818639798488666,X,2018-06-15 19:55:44
8636006,2018,2018-06-16,France,Australia,2,1,0,0.7652609324579949,0.13870034494269498,0.09603872259931012,14,2.5,0.5641498582469615,0.4358501417530384,1,2018-06-16 11:56:18
8636007,2018,2018-06-16,Argentina,Iceland,1,1,1,0.7263861021512205,0.18578721458867753,0.08782668326010211,16,2.5,0.522079116027687,0.477920883972313,X,2018-06-16 14:57:32
8636008,2018,2018-06-16,Peru,Denmark,0,1,2,0.26700050876916603,0.3122034870057256,0.4207960042251085,14,2.5,0.34201975776293136,0.6579802422370686,2,2018-06-16 17:55:46
8636009,2018,2018-06-16,Croatia,Nigeria,2,0,0,0.576592521446957,0.2559252645765738,0.1674822139764693,14,2.5,0.42569269521410585,0.5743073047858943,1,2018-06-16 20:41:04
8636010,2018,2018-06-17,Costa Rica,Serbia,0,1,2,0.1861870848045963,0.2847567179364415,0.5290561972589621,14,2.5,0.36626506024096384,0.633734939759036,2,2018-06-17 13:40:42
8636011,2018,2018-06-17,Germany,Mexico,0,1,2,0.6561218570714425,0.21208343616739225,0.1317947067611652,8,2.5,0.59068129059586,0.4093187094041399,2,2018-06-17 16:50:39
8636012,2018,2018-06-17,Brazil,Switzerland,1,1,1,0.6688855486364613,0.216448357311574,0.11466609405196479,13,2.5,0.48000153686556274,0.5199984631344373,X,2018-06-17 19:55:27
8636013,2018,2018-06-18,Sweden,Korea Republic,1,0,0,0.43248532289628183,0.31800391389432486,0.24951076320939342,13,2.5,0.34888411452624196,0.6511158854737581,1,2018-06-18 13:54:52
8636014,2018,2018-06-18,Belgium,Panama,3,0,0,0.8123830688642079,0.13372812933802034,0.05388880179777181,8,2.5,0.5659432387312188,0.43405676126878134,1,2018-06-18 16:50:31
8636015,2018,2018-06-18,Tunisia,England,1,2,2,0.10891230068337131,0.22551252847380412,0.6655751708428246,15,2.5,0.43147697014333464,0.5685230298566654,2,2018-06-18 19:46:16
8636016,2018,2018-06-19,Colombia,Japan,1,2,2,0.5179877409567973,0.28828484392536047,0.19372741511784222,17,2.5,0.3857493857493858,0.6142506142506142,2,2018-06-19 13:50:15
8636017,2018,2018-06-19,Poland,Senegal,1,2,2,0.3981930884693297,0.31387511503079846,0.28793179649987194,8,2.5,0.3713592233009709,0.6286407766990292,2,2018-06-19 16:50:23
8636018,2018,2018-06-19,Russia,Egypt,3,1,0,0.4912011669334206,0.2764689613684146,0.23232987169816474,16,2.5,0.38650447169438257,0.6134955283056174,1,2018-06-19 19:50:41
8636019,2018,2018-06-20,Portugal,Morocco,1,0,0,0.5766705411214919,0.26348607548651976,0.15984338339198814,16,2.5,0.44245524296675187,0.5575447570332481,1,2018-06-20 13:42:20
8636020,2018,2018-06-20,Uruguay,Saudi Arabia,1,0,0,0.8002681294360929,0.14501669330092323,0.05471517726298377,12,2.5,0.5291139240506328,0.47088607594936716,1,2018-06-20 16:51:18
8636021,2018,2018-06-20,Iran,Spain,0,1,2,0.050895381715362856,0.1432610744580584,0.8058435438265786,15,2.5,0.5310880829015544,0.4689119170984456,2,2018-06-20 19:45:52
8636022,2018,2018-06-21,Denmark,Australia,1,1,1,0.5043625285119551,0.2862999058906098,0.20933756559743508,17,2.5,0.39698492462311563,0.6030150753768844,X,2018-06-21 13:50:29
8636023,2018,2018-06-21,France,Peru,1,0,0,0.6032809806781337,0.24914721020213831,0.14757180911972811,17,2.5,0.4069478908188585,0.5930521091811414,1,2018-06-21 16:40:38
8636024,2018,2018-06-21,Argentina,Croatia,0,3,2,0.4605845881310895,0.29760850310008863,0.241806908768822,18,2.5,0.4113229123832777,0.5886770876167223,2,2018-06-21 19:50:32
8636025,2018,2018-06-22,Brazil,Costa Rica,2,0,0,0.8019133370849747,0.14701744513224538,0.051069217782779966,17,2.5,0.5239264106587236,0.47607358934127647,1,2018-06-22 13:51:56
8636026,2018,2018-06-22,Nigeria,Iceland,2,0,0,0.33227471218737603,0.3108376339817388,0.35688765383088533,17,2.5,0.3734643734643735,0.6265356265356266,1,2018-06-22 16:50:49
8636027,2018,2018-06-22,Serbia,Switzerland,1,2,2,0.35339006752167484,0.31515442087178874,0.33145551160653647,17,2.5,0.37990196078431376,0.6200980392156863,2,2018-06-22 19:50:39
8636028,2018,2018-06-23,Belgium,Tunisia,5,2,0,0.7210277923439958,0.19179339276350293,0.08717881489250133,16,2.5,0.5257731958762887,0.4742268041237113,1,2018-06-23 13:46:09
8636029,2018,2018-06-23,Korea Republic,Mexico,1,2,2,0.1753782668500688,0.25722145804676755,0.5674002751031637,15,2.5,0.4742780682749863,0.5257219317250138,,2018-06-23 16:53:25
8636030,2018,2018-06-23,Germany,Sweden,2,1,0,0.653845772672765,0.2126795040781741,0.13347472324906098,17,2.5,0.5732505875105524,0.42674941248944764,1,2018-06-23 19:51:55
8636031,2018,2018-06-24,England,Panama,6,1,0,0.791181557223599,0.15443863997004653,0.05437980280635441,15,2.5,0.5269234319729512,0.47307656802704867,1,2018-06-24 13:51:11
8636032,2018,2018-06-24,Japan,Senegal,2,2,1,0.3062303881904837,0.326991770440686,0.36677784136883035,17,2.5,0.36654778120584863,0.6334522187941514,X,2018-06-24 16:46:47
8636033,2018,2018-06-24,Poland,Colombia,0,3,2,0.27794959221437876,0.28366266020149405,0.4383877475841272,18,2.5,0.42246284304634896,0.577537156953651,2,2018-06-24 19:47:50
8636034,2018,2018-06-25,Uruguay,Russia,3,0,0,0.3579345534243009,0.3156821778997187,0.32638326867598033,16,2.5,0.39582870068627074,0.6041712993137291,1,2018-06-25 15:50:20
8636035,2018,2018-06-25,Saudi Arabia,Egypt,2,1,0,0.19053549190535493,0.2698215026982151,0.5396430053964302,16,2.5,0.4232726293369297,0.5767273706630701,1,2018-06-25 15:51:31
8636036,2018,2018-06-25,Iran,Portugal,1,1,1,0.1608957157397983,0.24134357360969746,0.5977607106505044,16,2.5,0.4720457688918869,0.527954231108113,X,2018-06-25 19:50:37
8636037,2018,2018-06-25,Spain,Morocco,2,2,1,0.7102272727272726,0.19318181818181818,0.09659090909090909,17,2.5,0.5782828282828284,0.42171717171717177,X,2018-06-25 19:50:37
8636038,2018,2018-06-26,Denmark,France,0,0,1,0.18643690177662997,0.35083216369455605,0.4627309345288141,16,2.5,0.38023697670316986,0.6197630232968302,X,2018-06-26 15:47:28
8636039,2018,2018-06-26,Australia,Peru,0,2,2,0.3291923487988077,0.2756508626646953,0.3951567885364971,14,2.5,0.4633218932865855,0.5366781067134145,2,2018-06-26 15:40:57
8636040,2018,2018-06-26,Nigeria,Argentina,1,2,2,0.16160000000000002,0.19200000000000003,0.6464000000000001,17,2.5,0.5919395465994962,0.4080604534005038,2,2018-06-26 19:52:49
8636041,2018,2018-06-26,Iceland,Croatia,1,2,2,0.22314924750505405,0.25251099059782434,0.5243397618971215,17,2.5,0.4545454545454546,0.5454545454545455,2,2018-06-26 19:51:25
8636042,2018,2018-06-27,Mexico,Sweden,0,3,2,0.43460264900662243,0.2897350993377483,0.27566225165562913,17,2.5,0.45918367346938777,0.5408163265306123,2,2018-06-27 15:51:09
8636043,2018,2018-06-27,Korea Republic,Germany,2,0,0,0.05381069346884952,0.1218403518258286,0.824348954705322,16,2.5,0.6563245823389022,0.3436754176610979,1,2018-06-27 15:55:54
8636044,2018,2018-06-27,Serbia,Brazil,0,2,2,0.1326818119125963,0.21287411581581384,0.6544440722715898,15,2.5,0.5761866078681676,0.42381339213183233,2,2018-06-27 19:51:00
8636045,2018,2018-06-27,Switzerland,Costa Rica,2,2,1,0.5976369298406301,0.2672765158453929,0.1350865543139769,18,2.5,0.4306003192637671,0.5693996807362329,X,2018-06-27 19:51:00
8636046,2018,2018-06-28,Japan,Poland,0,1,2,0.33038804354130813,0.30457647763964346,0.36503547881904835,15,2.5,0.4427480916030535,0.5572519083969466,2,2018-06-28 15:51:49
8636047,2018,2018-06-28,Senegal,Colombia,0,1,2,0.19226083357063803,0.26137080888116465,0.5463683575481973,15,2.5,0.4716494845360826,0.5283505154639175,2,2018-06-28 15:53:35
8636048,2018,2018-06-28,Panama,Tunisia,1,2,2,0.22290564058551474,0.2585705430791971,0.5185238163352881,15,2.5,0.45012787723785164,0.5498721227621484,2,2018-06-28 19:56:18
8636049,2018,2018-06-28,England,Belgium,0,1,2,0.3931492094231209,0.3397247523934982,0.26712603818338077,15,2.5,0.37014471336541926,0.6298552866345806,2,2018-06-28 19:46:14
10340557,2018,2018-06-30,France,Argentina,4,3,0,0.40011592236029236,0.3097671656982908,0.2901169119414168,18,2.5,0.3910346197531745,0.6089653802468256,1,2018-06-30 15:53:29
10340514,2018,2018-06-30,Uruguay,Portugal,2,1,0,0.32763532763532766,0.3221747388414055,0.35018993352326694,17,2.5,0.331002331002331,0.6689976689976691,1,2018-06-30 19:51:41
10340515,2018,2018-07-01,Spain,Russia,1,1,1,0.6086840970596284,0.23805117963122388,0.15326472330914762,16,2.5,0.49935649935649934,0.5006435006435006,X,2018-07-01 16:32:49
10340558,2018,2018-07-01,Croatia,Denmark,1,1,1,0.49129012465178545,0.30057190856025384,0.2081379667879607,17,2.5,0.3705530335283453,0.6294469664716548,X,2018-07-01 19:42:35
10341126,2018,2018-07-02,Brazil,Mexico,2,0,0,0.6536299719942813,0.21738704686551377,0.12898298114020484,16,2.5,0.5207253886010362,0.4792746113989638,1,2018-07-02 15:41:27
10341161,2018,2018-07-02,Belgium,Japan,3,2,0,0.6832975384107055,0.20644308607302167,0.11025937551627292,17,2.5,0.5440414507772021,0.4559585492227979,1,2018-07-02 19:50:45
10341127,2018,2018-07-03,Sweden,Switzerland,1,0,0,0.29374783741350974,0.3270988224367756,0.3791533401497147,14,2.5,0.36909483884758804,0.6309051611524118,1,2018-07-03 15:51:58
10341162,2018,2018-07-03,Colombia,England,1,1,1,0.23492306888079595,0.3095018209064455,0.4555751102127586,15,2.5,0.3649669059382866,0.6350330940617135,X,2018-07-03 20:50:52
10342083,2018,2018-07-06,Uruguay,France,0,2,2,0.20863690555040407,0.30732547357265866,0.48403762087693736,17,2.5,0.3452380952380952,0.6547619047619047,2,2018-07-06 15:41:30
10344350,2018,2018-07-06,Brazil,Belgium,1,2,2,0.4517763081040439,0.280885482731895,0.26733820916406104,18,2.5,0.5194805194805195,0.4805194805194806,2,2018-07-06 19:52:36
10346329,2018,2018-07-07,Sweden,England,0,2,2,0.193845022069642,0.2850662089259441,0.5210887690044139,14,2.5,0.3857109319978089,0.6142890680021911,2,2018-07-07 15:51:42
10344295,2018,2018-07-07,Russia,Croatia,2,2,1,0.24202145477640782,0.3034781606669579,0.4545003845566344,18,2.5,0.38158066754492703,0.618419332455073,X,2018-07-07 20:37:43
10350230,2018,2018-07-10,France,Belgium,1,0,0,0.37343309688076953,0.30823049266349234,0.318336410455738,15,2.5,0.4522184300341297,0.5477815699658704,1,2018-07-10 19:41:48
10351626,2018,2018-07-11,Croatia,England,2,1,0,0.2551775147928994,0.3232248520710059,0.4215976331360947,17,2.5,0.35251798561151076,0.6474820143884892,1,2018-07-11 19:47:12
10359019,2018,2018-07-14,Belgium,England,2,0,0,0.4434719183078046,0.2544128373450037,0.3021152443471919,15,2.5,0.5583081570996979,0.44169184290030206,1,2018-07-14 15:50:02
10359020,2018,2018-07-15,France,Croatia,4,2,0,0.4521571039451718,0.31359283015552236,0.23425006589930583,19,2.5,0.3302540415704388,0.6697459584295612,1,2018-07-15 16:53:11
18452341,2022,2022-11-20,Qatar,Ecuador,0,2,2,0.270838576568753,0.30665667340566466,0.4225047500255824,35,2.5,0.3729837879673619,0.6270162120326382,2,2022-11-20 17:55:23
18493994,2022,2022-11-21,England,Iran,6,2,0,0.69694648763473,0.21140426467416018,0.0916492476911099,35,2.5,0.41752577319587636,0.5824742268041238,1,2022-11-21 13:00:10
18493993,2022,2022-11-21,Senegal,Netherlands,0,2,2,0.15923061669641086,0.26174895895300415,0.579020424350585,32,2.5,0.4182778785842046,0.5817221214157954,2,2022-11-21 18:01:00
18493995,2022,2022-11-21,United States,Wales,1,1,1,0.39050863571541755,0.30862779274283003,0.30086357154175253,35,2.5,0.4051326827219576,0.5948673172780424,X,2022-11-21 21:00:58
18493996,2022,2022-11-22,Argentina,Saudi Arabia,1,2,2,0.8570668348542484,0.10617892267970121,0.03675424246605042,35,2.5,0.6095717884130982,0.3904282115869018,2,2022-11-22 12:05:42
18493999,2022,2022-11-22,Denmark,Tunisia,0,0,1,0.6047899850161922,0.24819952631833345,0.14701048866547445,35,2.5,0.43152454780361754,0.5684754521963824,X,2022-11-22 14:55:30
18493997,2022,2022-11-22,Mexico,Poland,0,0,1,0.3827160493827161,0.30864197530864196,0.30864197530864196,35,2.5,0.40506329113924056,0.5949367088607596,X,2022-11-22 17:55:30
18493998,2022,2022-11-22,France,Australia,4,1,0,0.7823521638350078,0.14684148305826303,0.0708063531067292,35,2.5,0.588235294117647,0.411764705882353,1,2022-11-22 21:00:24
18494003,2022,2022-11-23,Morocco,Croatia,0,0,1,0.27377852657374785,0.29315362230050546,0.43306785112574664,35,2.5,0.43354966139954854,0.5664503386004515,X,2022-11-23 11:55:10
18494001,2022,2022-11-23,Germany,Japan,1,2,2,0.6641366223908918,0.19924098671726756,0.13662239089184058,35,2.5,0.6045340050377834,0.3954659949622167,2,2022-11-23 14:55:44
18494000,2022,2022-11-23,Spain,Costa Rica,7,0,0,0.8292477938086567,0.11920437035999437,0.05154783583134892,35,2.5,0.625,0.375,1,2022-11-23 17:55:45
18494002,2022,2022-11-23,Belgium,Canada,1,0,0,0.6093248978116982,0.2243029126988467,0.16637218948945498,35,2.5,0.5465254423735738,0.4534745576264261,1,2022-11-23 20:55:34
18494005,2022,2022-11-24,Switzerland,Cameroon,1,0,0,0.5300434789288513,0.2780807816989046,0.19187573937224417,35,2.5,0.4186046511627907,0.5813953488372093,1,2022-11-24 11:55:36
18494007,2022,2022-11-24,Uruguay,Korea Republic,0,0,1,0.5377659199971632,0.2707894124838468,0.19144466751899006,34,2.5,0.42527739251040214,0.5747226074895978,X,2022-11-24 14:55:13
18494006,2022,2022-11-24,Portugal,Ghana,3,2,0,0.7311185018055137,0.17347193431902333,0.09540956387546283,35,2.5,0.549738219895288,0.450261780104712,1,2022-11-24 17:55:36
18494004,2022,2022-11-24,Brazil,Serbia,2,0,0,0.6584328480287911,0.20611810894814334,0.1354490430230656,35,2.5,0.5471204188481674,0.4528795811518324,1,2022-11-24 20:50:37
18494062,2022,2022-11-25,Wales,Iran,0,2,2,0.4432873627920068,0.3025612158739094,0.2541514213340839,35,2.5,0.3894472361809045,0.6105527638190955,2,2022-11-25 12:01:23
18494098,2022,2022-11-25,Qatar,Senegal,1,3,2,0.17465869344465756,0.26683967054044905,0.5585016360148933,35,2.5,0.4066496163682865,0.5933503836317136,2,2022-11-25 14:55:32
18494099,2022,2022-11-25,Netherlands,Ecuador,1,1,1,0.5238085927601207,0.2763280112531652,0.1998633959867141,35,2.5,0.4193525334095619,0.5806474665904381,X,2022-11-25 17:55:42
18494061,2022,2022-11-25,England,United States,0,0,1,0.6470110626205217,0.22531208768902872,0.1276768496904496,34,2.5,0.4619101592793653,0.5380898407206347,X,2022-11-25 20:50:35
